player_no,bt_rating,elo_rating,wins
1,-9.976797,-533.1,1.0
3,23.174188,5225.8,2.0
4,-16.657210,-1693.7,0
5,-4.712329,381.4,2.0
6,3.100867,1738.7,3.0
7,-6.991295,-14.5,1.0
8,-16.657210,-1693.7,0
9,-16.657210,-1693.7,0
10,-6.901605,1.1,1.0
11,-16.657210,-1693.7,0
12,-5.386958,264.2,1.0
13,-5.668551,215.3,1.0
14,-16.657210,-1693.7,0
15,3.536961,1814.4,2.0
16,21.519615,4938.3,1.0
17,-16.657210,-1693.7,0
18,-16.657210,-1693.7,0
19,-16.657210,-1693.7,0
20,16.169058,4008.9,2.0
21,-16.657210,-1693.7,0
22,44.177230,8874.4,1.0
23,-16.657210,-1693.7,0
24,4.102172,1912.6,1.0
26,17.233166,4193.7,2.0
29,-6.480259,74.3,1.0
30,7.337035,2474.6,2.0
31,-4.282731,456.0,3.0
32,26.384921,5783.5,2.0
33,10.588830,3039.5,1.0
34,3.233113,1761.6,1.0
35,26.093919,5733.0,4.0
37,27.639284,6001.4,2.0
38,-16.657210,-1693.7,0
39,-16.657210,-1693.7,0
40,4.795521,2033.1,1.0
41,-3.262932,633.2,1.0
42,34.282862,7155.5,2.0
43,-5.381685,265.1,1.0
44,20.477680,4757.3,1.0
45,-16.657210,-1693.7,0
46,13.448001,3536.2,4.0
47,13.143196,3483.2,1.0
48,-9.976792,-533.1,1.0
49,-16.657210,-1693.7,0
50,2.280921,1596.2,1.0
51,27.639284,6001.4,1.0
52,-0.516353,1110.3,1.0
53,-5.381451,265.1,1.0
54,10.484369,3021.3,1.0
55,-5.381600,265.1,1.0
56,-5.363243,268.3,2.0
57,3.837825,1866.7,5.0
58,-16.657210,-1693.7,0
59,-16.657210,-1693.7,0
60,-7.818210,-158.2,1.0
61,13.489619,3543.4,3.0
62,16.421705,4052.7,1.0
63,15.910359,3963.9,2.0
64,18.138939,4351.1,4.0
65,2.929621,1708.9,1.0
66,-8.306785,-243.0,2.0
67,30.230521,6451.6,1.0
68,-5.381451,265.1,1.0
69,1.259639,1418.8,1.0
70,-5.787000,194.7,2.0
71,-9.976737,-533.1,2.0
72,13.277748,3506.6,3.0
73,-16.657210,-1693.7,0
75,34.966949,7274.4,1.0
76,11.834987,3255.9,1.0
77,24.793623,5507.1,1.0
78,-16.657210,-1693.7,0
79,-5.381451,265.1,1.0
80,-16.657210,-1693.7,0
81,-16.657210,-1693.7,0
82,-16.657210,-1693.7,0
83,-7.200995,-50.9,1.0
84,6.232243,2282.7,2.0
85,-16.657210,-1693.7,0
86,-16.657210,-1693.7,0
87,-5.381451,265.1,1.0
88,2.437306,1623.4,2.0
89,-16.657210,-1693.7,0
90,-16.657210,-1693.7,0
91,12.589373,3387.0,1.0
92,3.590953,1823.8,1.0
93,2.456094,1626.7,4.0
94,-6.999084,-15.9,1.0
95,3.590953,1823.8,1.0
96,3.463302,1801.6,2.0
97,-5.381575,265.1,3.0
98,20.730035,4801.2,1.0
99,-16.657210,-1693.7,0
100,-16.657210,-1693.7,0
