game_no,player_first,player_second,result
1,7,15,l
2,1,18,l
3,8,14,w
4,5,10,w
5,2,17,w
6,7,15,l
7,19,11,l
8,12,11,w
9,9,4,w
10,8,3,w
11,16,20,w
12,19,13,l
13,6,11,w
14,7,5,w
15,14,2,w
16,16,15,w
17,8,17,l
18,18,19,w
19,4,17,w
20,19,6,l
21,12,8,l
22,5,7,w
23,16,6,w
24,6,9,l
25,14,3,l
26,13,18,l
27,7,3,l
28,7,5,l
29,10,3,l
30,18,20,w
31,1,11,w
32,15,18,w
33,15,4,l
34,8,6,w
35,8,14,w
36,3,19,l
37,3,13,w
38,3,13,l
39,2,4,w
40,9,16,l
41,17,19,l
42,5,11,w
43,7,6,l
44,8,11,w
45,19,12,w
46,10,18,l
47,13,2,l
48,16,4,w
49,4,3,w
50,20,11,l
51,13,16,l
52,13,2,l
53,19,3,l
54,11,18,w
55,10,3,w
56,13,14,w
57,4,7,w
58,14,19,l
59,19,4,w
60,1,7,w
61,2,9,l
62,13,3,w
63,1,5,w
64,8,11,w
65,19,17,w
66,6,3,l
67,11,18,w
68,12,20,l
69,14,15,w
70,8,20,l
71,17,14,l
72,14,8,w
73,12,5,l
74,1,9,l
75,16,18,l
76,19,17,l
77,17,11,l
78,8,16,w
79,4,9,w
80,16,10,l
81,4,17,w
82,18,20,l
83,13,14,l
84,8,5,w
85,12,6,w
86,11,3,w
87,12,1,w
88,14,10,w
89,6,11,w
90,9,1,l
91,12,17,w
92,14,16,l
93,20,7,w
94,13,3,w
95,19,15,w
96,20,2,l
97,5,11,w
98,12,15,w
99,3,16,w
100,14,2,l
101,14,8,l
102,17,8,w
103,16,2,l
104,2,20,w
105,9,16,w
106,19,9,l
107,11,8,l
108,14,9,l
109,6,12,l
110,10,16,w
111,7,11,w
112,11,18,l
113,8,1,w
114,9,3,w
115,18,17,l
116,13,19,l
117,12,6,w
118,5,7,l
119,7,1,w
120,13,2,w
121,14,20,l
122,13,15,w
123,4,19,w
124,15,19,w
125,3,16,w
126,8,14,w
127,15,8,l
128,16,13,l
129,4,7,w
130,4,2,w
131,7,2,l
132,11,4,l
133,10,9,w
134,19,13,w
135,7,20,l
136,10,1,w
137,15,12,l
138,20,3,w
139,8,10,w
140,2,12,w
141,1,12,l
142,8,3,l
143,8,16,w
144,14,9,l
145,4,17,w
146,16,3,w
147,16,8,l
148,2,7,w
149,1,5,w
150,5,13,w
151,3,2,w
152,4,16,l
153,5,12,w
154,10,14,l
155,9,5,l
156,18,13,l
157,15,14,l
158,18,3,w
159,15,20,w
160,1,15,w
161,16,2,l
162,18,7,w
163,12,5,w
164,2,11,l
165,9,17,w
166,9,11,w
167,16,19,l
168,15,1,w
169,14,19,w
170,7,17,l
171,9,4,l
172,1,17,w
173,18,13,l
174,14,17,w
175,12,5,l
176,9,13,w
177,1,3,l
178,2,9,w
179,19,20,w
180,2,1,w
181,12,7,l
182,18,17,w
183,3,10,l
184,13,4,l
185,9,19,w
186,16,15,w
187,4,15,l
188,15,17,w
189,4,15,l
190,9,11,w
191,3,20,w
192,8,6,w
193,4,13,w
194,10,19,l
195,15,20,w
196,9,1,l
197,19,10,w
198,16,10,w
199,18,2,w
200,14,8,l
201,7,2,l
202,1,6,w
203,16,15,w
204,11,13,w
205,16,8,l
206,12,19,l
207,13,14,l
208,8,16,w
209,3,4,w
210,20,2,l
211,1,11,l
212,4,9,l
213,13,10,w
214,2,15,l
215,18,9,l
216,4,13,l
217,9,18,w
218,19,16,l
219,7,10,l
220,17,20,w
221,12,19,w
222,16,3,w
223,2,17,w
224,6,20,l
225,9,18,w
226,6,10,w
227,3,2,l
228,5,2,w
229,6,5,w
230,13,8,w
231,16,8,w
232,13,12,l
233,16,1,w
234,19,9,w
235,20,4,w
236,8,6,l
237,7,13,l
238,2,16,l
239,12,3,l
240,5,13,l
241,17,16,w
242,8,5,w
243,7,15,l
244,16,11,l
245,10,1,l
246,13,20,w
247,4,20,w
248,15,5,l
249,15,4,w
250,9,14,l
251,14,16,w
252,13,6,l
253,7,2,l
254,19,3,w
255,4,7,w
256,14,6,w
257,4,8,l
258,14,16,w
259,12,2,l
260,6,4,l
261,2,11,l
262,18,12,w
263,3,13,w
264,11,20,l
265,15,5,l
266,9,7,l
267,18,6,w
268,4,11,w
269,1,9,l
270,10,8,l
271,16,9,w
272,1,13,w
273,9,16,w
274,1,7,l
275,19,20,l
276,12,17,w
277,16,11,w
278,8,17,l
279,3,5,w
280,2,7,l
281,5,19,l
282,6,13,w
283,10,15,w
284,20,2,w
285,6,13,w
286,18,16,w
287,5,17,l
288,19,2,w
289,20,2,w
290,10,15,l
291,18,19,w
292,9,17,w
293,10,2,w
294,6,16,w
295,12,3,l
296,4,13,l
297,19,2,l
298,6,15,w
299,10,7,l
300,16,19,w
301,6,20,l
302,6,4,w
303,2,12,w
304,16,14,l
305,17,9,w
306,13,14,l
307,8,4,l
308,8,16,l
309,18,2,l
310,14,2,l
311,6,9,l
312,14,9,l
313,9,19,w
314,5,14,w
315,15,11,l
316,11,5,w
317,9,20,l
318,14,18,w
319,4,18,w
320,8,7,l
321,18,15,l
322,20,14,w
323,13,4,w
324,17,2,w
325,5,4,w
326,16,11,w
327,14,17,l
328,16,13,w
329,2,12,l
330,17,8,l
331,12,3,l
332,13,11,l
333,19,11,l
334,7,20,w
335,7,3,w
336,7,9,l
337,10,17,w
338,5,2,l
339,17,14,w
340,17,18,l
341,14,12,l
342,4,11,w
343,8,2,l
344,6,13,l
345,18,16,w
346,2,6,w
347,19,5,l
348,8,1,w
349,9,11,w
