game_no,player_first,player_second,result
1,18,9,w
2,6,18,w
3,11,17,l
4,7,11,w
5,1,9,w
6,5,17,l
7,19,8,w
8,6,12,w
9,10,17,w
10,15,10,l
11,6,10,l
12,7,19,w
13,16,3,l
14,14,9,l
15,14,19,w
16,3,18,w
17,6,17,l
18,3,14,w
19,13,7,l
20,3,7,l
21,2,20,w
22,15,11,l
23,19,7,w
24,16,6,w
25,6,14,w
26,3,2,w
27,19,5,l
28,15,8,w
29,13,3,l
30,20,3,w
31,1,18,w
32,14,20,l
33,10,5,w
34,1,12,w
35,4,18,w
36,13,7,l
37,18,13,l
38,13,3,l
39,19,14,l
40,17,1,w
41,2,19,w
42,20,15,w
43,17,16,w
44,13,1,l
45,10,1,w
46,18,3,l
47,8,10,l
48,14,1,l
49,8,15,w
50,4,1,w
51,11,17,l
52,16,17,l
53,10,1,l
54,2,16,w
55,10,4,w
56,18,8,l
57,8,14,l
58,18,6,l
59,2,19,w
60,1,16,w
61,3,13,w
62,4,15,w
63,1,13,w
64,19,18,w
65,17,18,w
66,13,10,l
67,7,8,w
68,6,15,w
69,4,13,l
70,5,1,w
71,6,19,w
72,8,15,w
73,9,5,l
74,5,4,w
75,17,20,w
76,7,19,w
77,11,4,w
78,12,2,w
79,7,8,w
80,6,7,l
81,1,18,w
82,16,15,w
83,3,9,w
84,17,20,l
85,18,15,l
86,20,7,l
87,1,13,l
88,8,11,l
89,14,20,l
90,5,18,w
91,20,8,w
92,4,13,l
93,3,2,l
94,13,4,l
95,4,8,w
96,12,4,l
97,15,16,l
98,11,5,l
99,9,13,w
100,11,19,w
101,20,3,l
102,19,4,w
103,14,15,w
104,12,14,w
105,18,15,l
106,14,4,l
107,15,10,l
108,2,6,l
109,13,12,w
110,4,19,w
111,18,2,l
112,4,6,w
113,4,14,w
114,5,17,l
115,7,1,w
116,16,5,l
117,14,9,w
118,15,1,l
119,14,4,l
120,3,19,l
121,16,19,l
122,17,15,w
123,14,8,w
124,13,15,w
125,15,2,w
126,6,19,w
127,14,7,l
128,9,14,l
129,17,8,w
130,9,7,l
131,15,9,l
132,8,6,l
133,11,12,w
134,9,11,l
135,8,17,w
136,7,14,w
137,4,8,w
138,5,8,w
139,5,7,l
140,15,16,l
141,10,2,w
142,7,13,w
143,19,10,l
144,12,7,l
145,10,5,w
146,17,12,w
147,5,18,w
148,9,13,l
149,18,3,l
150,20,10,l
151,20,4,l
152,2,11,w
153,12,10,l
154,3,4,l
155,11,17,l
156,10,14,w
157,20,10,l
158,7,6,w
159,14,3,l
160,12,5,l
161,12,18,w
162,19,5,l
163,14,20,w
164,9,3,l
165,7,11,w
166,18,20,l
167,2,9,l
168,15,13,l
169,1,18,w
170,16,19,w
171,18,16,l
172,1,5,l
173,16,7,l
174,7,5,l
175,17,8,w
176,12,15,w
177,6,10,l
178,13,8,l
179,8,14,l
180,18,10,l
181,4,11,w
182,8,1,l
183,19,8,w
184,12,8,w
185,6,16,w
186,20,6,w
187,2,10,w
188,11,15,w
189,1,3,l
190,16,9,l
191,9,5,l
192,14,7,l
193,20,11,l
194,17,11,l
195,13,11,l
196,1,19,w
197,9,13,w
198,12,8,w
199,14,2,w
200,15,19,l
201,6,15,w
202,14,5,l
203,12,11,l
204,15,14,l
205,18,17,l
206,6,1,w
207,19,14,l
208,2,20,l
209,17,10,w
210,17,1,l
211,12,18,w
212,17,9,w
213,18,2,l
214,17,16,w
215,5,1,w
216,9,3,w
217,8,9,w
