game_no,player_first,player_second,result
1,17,2,l
2,11,4,l
3,7,13,w
4,16,7,l
5,15,8,w
6,9,15,w
7,11,2,l
8,15,10,w
9,11,5,w
10,19,11,l
11,4,13,w
12,18,19,w
13,17,1,w
14,6,12,l
15,5,14,w
16,1,2,l
17,12,3,l
18,16,2,l
19,8,6,w
20,18,12,w
21,19,4,l
22,16,2,l
23,2,8,w
24,15,19,w
25,2,18,w
26,19,17,l
27,19,10,l
28,5,10,l
29,6,10,l
30,18,14,l
31,8,9,w
32,2,20,w
33,18,19,w
34,15,2,l
35,2,8,w
36,1,2,l
37,16,1,l
38,11,4,l
39,19,7,l
40,7,18,l
41,1,8,w
42,15,8,w
43,17,15,l
44,15,14,w
45,7,17,l
46,15,13,w
47,5,17,w
48,16,1,l
49,10,2,l
50,7,8,w
51,9,1,l
52,4,19,w
53,10,11,l
54,5,17,l
55,16,19,w
56,14,2,l
57,6,3,l
58,1,20,l
59,4,1,l
60,7,10,w
61,15,7,l
62,12,16,w
63,13,17,l
64,8,2,l
65,12,15,w
66,12,10,l
67,17,13,w
68,8,14,w
69,15,6,w
70,7,4,l
71,7,12,w
72,12,13,w
73,1,13,l
74,10,17,l
75,9,18,w
76,5,17,l
77,3,2,l
78,3,11,l
79,19,6,w
80,9,19,l
81,20,13,w
82,10,8,w
83,13,15,l
84,6,2,l
85,8,6,w
86,19,4,l
87,4,19,w
88,11,8,w
89,10,9,w
90,15,2,l
91,7,15,w
92,10,1,w
93,4,17,w
94,18,13,w
95,2,12,w
96,16,4,w
97,8,9,l
98,17,18,w
99,16,12,l
100,20,17,l
101,13,20,l
102,7,4,l
103,20,17,l
104,2,20,w
105,20,6,w
106,7,16,w
107,10,20,l
108,12,10,l
109,10,19,w
110,18,11,l
111,15,10,l
112,12,6,w
113,4,18,w
114,16,8,w
115,1,13,w
116,5,14,w
117,18,3,w
118,9,5,w
119,2,14,w
120,13,14,w
121,8,4,l
122,3,4,l
123,8,20,l
124,5,14,l
125,5,16,l
126,11,3,l
127,13,16,w
128,9,13,w
129,15,17,l
130,13,18,w
131,3,13,w
132,1,14,w
133,19,7,l
134,18,2,l
135,13,4,l
136,10,9,w
137,16,3,w
138,1,17,l
139,4,5,w
140,4,8,l
141,15,5,l
142,20,17,l
143,2,10,w
144,10,6,w
145,12,2,l
146,12,18,w
147,15,17,l
148,20,11,w
149,7,9,w
150,13,5,l
151,8,17,l
152,3,11,l
153,15,7,l
154,3,17,l
155,1,18,w
156,1,17,l
157,13,17,l
158,20,10,w
159,9,13,w
160,6,4,l
161,2,18,w
162,5,14,w
163,6,16,l
164,14,1,w
165,14,2,l
166,12,15,w
167,9,6,w
168,3,12,w
169,9,18,l
170,7,15,w
171,13,20,l
172,19,20,l
173,20,7,w
174,15,10,l
175,14,5,w
176,8,14,l
177,5,10,l
178,2,4,w
179,6,3,l
180,13,3,l
181,8,10,w
182,6,18,l
183,17,2,l
184,20,14,w
185,2,16,w
186,6,2,l
187,6,18,l
188,12,2,l
189,8,11,l
190,8,17,l
191,6,9,w
192,12,13,w
193,13,17,w
194,14,7,l
195,20,2,l
196,20,14,w
197,6,8,w
198,1,10,l
199,6,12,l
200,1,18,l
201,4,13,w
202,2,18,w
203,6,15,l
204,18,13,w
205,13,2,l
