game_no,player_first,player_second,result
1,268,277,l
2,157,291,w
3,405,103,l
4,167,178,w
5,449,76,w
6,387,101,w
7,132,23,l
8,265,383,l
9,225,344,l
10,496,395,l
11,44,330,l
12,35,510,w
13,396,224,w
14,237,59,w
15,401,104,w
16,404,298,l
17,370,179,w
18,244,357,l
19,41,441,l
20,166,498,l
21,149,36,w
22,66,340,w
23,372,276,w
24,46,355,w
25,67,246,l
26,55,216,l
27,365,89,w
28,463,125,l
29,53,398,w
30,492,43,w
31,102,114,l
32,379,495,l
33,503,486,w
34,232,428,l
35,295,297,w
36,198,151,w
37,369,474,l
38,8,97,l
39,220,190,w
40,236,91,w
41,156,392,w
42,427,424,w
43,242,58,l
44,27,477,w
45,290,465,l
46,353,511,l
47,247,272,w
48,165,47,l
49,192,419,l
50,162,331,l
51,183,300,l
52,16,128,l
53,152,335,l
54,129,334,l
55,447,33,l
56,31,136,w
57,493,421,w
58,505,394,l
59,468,462,w
60,457,64,w
61,85,347,w
62,222,381,w
63,207,211,l
64,332,448,w
65,127,81,l
66,138,409,w
67,269,292,w
68,399,491,w
69,497,253,w
70,509,403,l
71,260,499,w
72,45,250,w
73,71,440,l
74,373,153,w
75,358,475,w
76,282,339,l
77,258,146,l
78,164,72,l
79,205,210,w
80,254,187,w
81,323,177,w
82,240,209,l
83,241,20,l
84,343,264,w
85,502,469,l
86,363,266,l
87,218,329,l
88,336,450,w
89,484,309,l
90,412,482,w
91,429,270,w
92,18,158,w
93,49,261,l
94,407,420,l
95,79,433,w
96,446,375,l
97,32,306,l
98,243,467,l
99,108,7,l
100,105,494,w
101,230,326,l
102,485,500,l
103,461,143,l
104,438,349,l
105,342,460,l
106,34,455,w
107,73,454,w
108,141,196,w
109,200,52,w
110,150,74,l
111,267,371,w
112,217,84,l
113,181,30,l
114,259,391,l
115,328,68,l
116,466,135,w
117,508,234,l
118,61,25,w
119,434,48,l
120,431,352,w
121,366,278,w
122,239,378,w
123,208,360,l
124,321,219,l
125,275,262,w
126,147,221,w
127,80,452,w
128,21,348,l
129,6,418,l
130,319,337,l
131,28,279,l
132,204,96,w
133,305,118,l
134,29,296,w
135,83,325,l
136,69,316,w
137,368,174,l
138,90,94,l
139,471,487,l
140,312,56,l
141,310,38,l
142,252,423,l
143,112,37,l
144,280,223,w
145,78,288,w
146,197,361,w
147,202,133,w
148,9,301,w
149,356,155,w
150,62,120,w
