round,game_no,player_first,player_second,result
1,1,1,2,w
1,2,3,4,w
1,3,5,6,w
1,4,7,8,w
1,5,9,10,l
1,6,11,12,l
1,7,13,14,l
1,8,15,16,w
1,9,17,18,w
1,10,19,20,w
2,11,1,3,w
2,12,5,7,l
2,13,10,12,w
2,14,14,15,w
2,15,17,19,l
2,16,2,4,l
2,17,6,8,w
2,18,9,11,l
2,19,13,16,l
2,20,18,20,w
3,21,1,7,l
3,22,10,14,l
3,23,19,3,w
3,24,4,5,w
3,25,6,11,l
3,26,12,15,w
3,27,16,17,w
3,28,18,2,w
3,29,8,9,l
3,30,13,20,l
4,31,7,14,l
4,32,19,1,l
4,33,4,10,w
4,34,11,16,l
4,35,12,18,w
4,36,3,5,w
4,37,6,9,l
4,38,15,17,l
4,39,20,2,l
4,40,8,13,l
5,41,14,1,l
5,42,4,7,w
5,43,12,16,w
5,44,19,9,w
5,45,3,10,w
5,46,11,17,w
5,47,18,5,w
5,48,2,6,w
5,49,13,15,l
5,50,20,8,w
6,51,1,4,l
6,52,12,14,w
6,53,19,7,w
6,54,3,11,l
6,55,16,18,l
6,56,2,9,l
6,57,10,15,w
6,58,17,20,l
6,59,5,13,l
6,60,6,8,l
7,61,4,12,l
7,62,19,11,l
7,63,1,18,w
7,64,14,3,l
7,65,7,9,l
7,66,10,16,l
7,67,20,15,w
7,68,2,13,w
7,69,17,5,w
7,70,6,8,w
8,71,12,1,w
8,72,4,11,l
8,73,19,14,l
8,74,3,9,w
8,75,16,20,l
8,76,18,7,l
8,77,2,10,l
8,78,17,6,w
8,79,13,15,w
8,80,5,8,l
9,81,12,3,l
9,82,11,1,w
9,83,4,14,l
9,84,19,10,l
9,85,20,7,w
9,86,9,16,w
9,87,17,2,l
9,88,18,13,l
9,89,6,15,w
9,90,8,5,w
10,91,11,14,w
10,92,12,20,w
10,93,3,2,w
10,94,1,9,w
10,95,4,19,w
10,96,10,7,l
10,97,13,17,l
10,98,16,6,w
10,99,18,8,l
10,100,15,5,w
11,101,11,20,w
11,102,12,7,l
11,103,3,16,w
11,104,1,10,w
11,105,4,9,w
11,106,14,17,w
11,107,19,2,w
11,108,8,15,l
11,109,13,6,w
11,110,18,5,l
12,111,11,7,l
12,112,3,20,w
12,113,12,19,l
12,114,1,13,w
12,115,4,16,l
12,116,14,9,l
12,117,10,17,l
12,118,2,8,l
12,119,15,18,w
12,120,6,5,w
13,121,3,7,l
13,122,11,8,w
13,123,1,16,l
13,124,12,9,w
13,125,4,17,w
13,126,14,20,w
13,127,19,13,w
13,128,10,6,l
13,129,15,2,l
13,130,18,5,l
14,131,11,2,w
14,132,3,17,w
14,133,12,6,w
14,134,1,20,l
14,135,4,8,w
14,136,7,16,w
14,137,14,18,w
14,138,19,15,l
14,139,9,13,l
14,140,10,5,w
15,141,11,10,w
15,142,3,13,w
15,143,12,17,w
15,144,4,20,l
15,145,7,15,l
15,146,14,16,w
15,147,1,6,w
15,148,19,8,w
15,149,9,18,w
15,150,2,5,w
16,151,11,15,l
16,152,3,6,w
16,153,12,2,w
16,154,14,8,w
16,155,1,17,w
16,156,4,13,w
16,157,7,19,l
16,158,20,9,l
16,159,16,5,w
16,160,10,18,w
17,161,3,15,w
17,162,11,13,w
17,163,12,8,w
17,164,14,2,l
17,165,1,5,w
17,166,4,6,w
17,167,19,16,w
17,168,7,17,l
17,169,9,20,w
17,170,10,18,w
18,171,3,8,l
