game_no,player_first,player_second,result
1,15,19,l
2,6,5,l
3,10,1,w
4,2,13,l
5,3,18,w
6,7,12,l
7,17,11,w
8,8,16,l
9,14,20,w
10,4,9,w
11,10,12,w
12,4,17,w
13,5,13,w
14,16,19,w
15,3,14,w
16,15,11,w
17,2,20,w
18,9,18,l
19,8,1,l
20,6,7,l
21,5,10,w
22,4,3,w
23,7,2,l
24,19,1,l
25,15,12,w
26,17,18,w
27,14,13,l
28,11,9,l
29,6,8,l
30,16,20,l
31,5,4,l
32,2,16,l
33,15,17,w
34,1,13,w
35,10,3,w
36,7,18,l
37,20,8,w
38,12,19,l
39,9,14,w
40,6,11,l
41,16,5,w
42,10,15,l
43,20,18,l
44,17,19,l
45,9,3,w
46,12,8,w
47,7,14,w
48,13,4,l
49,6,1,l
50,2,11,w
