player_no,bt_rating,elo_rating,wins
1,0.000318,1200.1,97
2,-0.082098,1185.7,103
3,0.255036,1244.3,112
4,0.015326,1202.7,102
5,-0.141625,1175.4,85
6,0.312458,1254.3,123
7,-0.247822,1156.9,80
8,-0.004379,1199.2,93
9,0.069315,1212.0,95
10,0.043036,1207.5,106
11,-0.065674,1188.6,107
12,-0.150613,1173.8,85
13,0.011919,1202.1,103
14,-0.020506,1196.4,101
15,0.134176,1223.3,112
16,0.097440,1216.9,106
17,0.006823,1201.2,104
18,-0.102745,1182.2,95
19,-0.061128,1189.4,98
20,-0.069257,1188.0,93
