player_no,bt_rating,elo_rating,wins
1,-0.001217,1199.8,97
2,-0.081731,1185.8,103
3,0.254408,1244.2,112
4,0.012934,1202.2,102
5,-0.138977,1175.9,85
6,0.312142,1254.2,123
7,-0.249522,1156.7,80
8,-0.009642,1198.3,93
9,0.066658,1211.6,95
10,0.040869,1207.1,106
11,-0.062986,1189.1,107
12,-0.150537,1173.8,85
13,0.014835,1202.6,103
14,-0.015329,1197.3,101
15,0.133402,1223.2,112
16,0.098397,1217.1,106
17,0.005821,1201.0,104
18,-0.101018,1182.5,95
19,-0.063049,1189.0,98
20,-0.065459,1188.6,93
