player_no,bt_rating,elo_rating,wins
1,-0.026045,1195.5,97
2,-0.084680,1185.3,103
3,0.259272,1245.0,112
4,0.020368,1203.5,102
5,-0.140423,1175.6,85
6,0.308982,1253.7,123
7,-0.246415,1157.2,80
8,-0.004420,1199.2,93
9,0.068636,1211.9,95
10,0.026065,1204.5,106
11,-0.070967,1187.7,107
12,-0.152513,1173.5,85
13,0.018764,1203.3,103
14,-0.004167,1199.3,101
15,0.151532,1226.3,112
16,0.092066,1216.0,106
17,0.004985,1200.9,104
18,-0.085734,1185.1,95
19,-0.072225,1187.5,98
20,-0.063081,1189.0,93
