player_no,bt_rating,elo_rating,wins
1,0.369500,1264.2,97
2,-0.166173,1171.1,103
3,0.712399,1323.8,112
4,0.219005,1238.0,102
5,-0.437552,1124.0,85
6,-0.332871,1142.2,123
7,0.611316,1306.2,80
8,0.309005,1253.7,93
9,1.316593,1428.7,95
10,0.871879,1351.5,106
11,-0.621460,1092.0,107
12,-0.278531,1151.6,85
13,-0.393311,1131.7,103
14,0.584869,1301.6,101
15,-1.170617,996.6,112
16,0.185326,1232.2,106
17,-0.599208,1095.9,104
18,-0.798286,1061.3,95
19,-0.166175,1171.1,98
20,-0.215708,1162.5,93
