game_no,player_first,player_second,result
1,9,4,w
2,1,2,w
3,2,5,l
4,3,7,w
5,5,1,w
6,5,1,w
7,3,5,w
8,8,9,l
9,8,6,w
10,4,2,w
11,2,3,l
12,3,7,l
13,2,10,l
14,5,6,w
15,5,8,l
16,9,1,l
17,5,7,l
18,7,1,l
19,2,7,l
20,10,2,w
21,6,1,w
22,10,5,l
23,1,3,w
24,10,4,l
25,5,1,l
26,6,9,w
27,5,6,l
28,10,9,l
29,4,5,l
30,3,5,l
31,4,1,l
32,2,5,l
33,1,3,l
34,10,3,w
35,1,7,w
36,8,6,l
37,6,10,l
38,4,7,l
39,1,5,w
40,10,8,l
41,3,6,w
42,10,7,w
43,5,4,l
44,1,2,w
45,4,6,w
46,9,6,w
47,9,10,l
48,3,5,l
49,7,10,l
50,10,1,w
51,2,5,w
52,1,2,w
53,4,8,w
54,8,5,w
55,10,8,w
56,1,7,w
57,2,6,l
58,1,2,l
59,5,4,w
60,4,5,w
61,6,5,w
62,8,1,l
63,6,7,l
64,8,6,l
65,3,10,l
66,3,10,l
67,7,1,w
68,1,2,l
69,10,2,l
70,7,6,l
71,9,5,l
72,8,7,l
73,1,3,w
74,5,6,w
75,7,3,w
76,3,10,l
77,4,9,l
78,8,6,w
79,9,5,l
80,8,7,l
81,2,8,l
82,3,5,w
83,10,8,l
84,7,8,l
85,6,5,w
86,4,3,w
87,6,2,w
88,6,2,w
89,4,8,l
90,1,10,l
91,8,1,w
92,8,2,w
93,7,2,l
94,10,2,w
95,4,10,l
96,4,10,w
97,6,8,w
98,8,3,l
99,7,2,w
100,10,5,w
101,6,4,w
102,6,10,l
103,5,2,l
104,8,3,w
105,6,4,l
106,8,5,w
107,1,5,w
108,1,10,w
109,2,1,l
110,5,8,w
111,7,3,w
112,8,5,w
113,1,7,l
114,9,10,l
115,7,6,l
116,3,10,l
117,9,5,l
118,10,2,w
119,7,8,w
120,1,6,w
121,10,9,l
122,6,4,l
123,10,5,w
124,6,10,l
125,10,1,l
126,2,5,l
127,8,6,l
128,8,10,l
129,5,6,w
130,4,10,w
131,10,4,l
132,2,1,w
133,3,5,l
134,7,10,w
135,5,6,w
136,3,10,w
137,9,2,w
138,6,4,w
139,3,5,w
140,6,10,w
141,5,2,l
142,8,10,w
143,3,5,w
144,10,5,l
145,2,9,l
146,10,6,l
147,1,6,l
148,9,6,l
149,2,7,l
150,8,3,w
151,2,10,w
152,3,10,w
153,6,7,w
154,8,6,w
155,1,9,w
156,3,9,l
157,9,10,l
158,5,8,w
159,1,3,l
160,7,1,w
161,2,1,w
162,6,4,l
163,4,9,l
164,5,6,w
165,9,2,w
166,5,7,w
167,3,8,l
168,2,8,w
169,6,9,l
170,7,3,w
171,7,8,l
172,2,6,w
173,5,3,w
174,9,8,l
175,8,10,l
176,3,9,l
177,4,8,l
178,1,2,w
179,10,3,w
180,10,5,l
181,9,5,l
182,5,8,l
183,9,5,w
184,3,9,w
185,10,8,w
186,3,9,w
187,10,7,w
188,6,4,w
189,1,3,w
190,6,10,l
191,2,10,w
192,6,10,l
193,7,2,l
194,4,7,l
195,6,7,w
196,8,1,l
197,7,5,l
198,2,3,w
199,4,6,l
200,1,7,l
201,9,10,w
202,10,1,w
203,6,9,w
204,9,6,w
205,8,7,w
206,10,7,l
207,6,9,w
208,10,1,w
209,5,9,w
210,5,6,w
211,5,6,l
212,6,1,l
213,3,6,l
214,5,1,w
215,5,10,l
216,6,7,l
217,5,2,w
218,2,7,l
219,5,3,w
220,2,5,w
221,8,10,l
222,6,1,w
223,1,7,w
224,3,1,l
225,1,6,w
226,8,1,w
227,8,2,l
228,5,7,l
229,3,6,l
230,8,2,l
231,9,2,w
232,5,8,l
233,7,10,w
234,1,10,w
235,3,9,w
236,7,10,w
237,9,6,w
238,1,10,w
239,10,3,l
240,6,8,l
241,3,10,l
242,3,10,l
243,9,10,l
244,9,4,l
245,8,1,w
246,6,9,l
247,4,10,w
248,6,8,l
249,6,2,w
250,6,4,l
251,7,6,w
252,2,3,l
253,4,9,w
254,8,5,w
255,6,2,w
256,7,9,l
257,4,6,w
258,1,4,l
259,9,5,l
260,4,2,w
261,9,5,w
262,1,4,w
263,6,9,w
264,3,9,w
265,5,3,w
266,1,3,l
267,1,3,w
268,9,4,w
269,7,2,w
270,7,6,w
271,8,4,w
272,8,3,l
273,8,7,l
274,9,5,w
275,2,3,l
276,3,10,w
277,3,1,l
278,8,9,l
279,3,10,w
280,3,9,l
281,6,10,w
282,4,5,l
283,1,7,w
284,7,3,l
285,5,1,w
286,4,1,l
287,4,7,w
288,9,7,l
289,6,2,w
290,7,1,w
291,10,7,l
292,7,8,l
293,10,1,l
294,7,2,l
295,6,7,l
296,10,6,w
297,6,1,l
298,6,9,l
299,2,10,l
300,4,7,w
301,6,7,l
302,2,9,l
303,7,5,l
304,9,2,w
305,10,6,l
306,9,3,l
307,10,7,w
308,1,5,w
309,10,6,w
310,4,10,w
311,1,3,l
312,3,1,w
313,2,4,w
314,9,8,w
315,5,10,w
316,8,3,l
317,3,8,w
318,6,7,l
319,5,3,l
320,1,9,l
321,4,7,l
322,10,3,l
323,8,6,w
324,6,1,l
325,5,6,w
326,10,4,l
327,3,7,w
328,7,3,l
329,2,5,w
330,7,3,l
331,1,5,l
332,10,4,l
333,1,8,l
334,5,10,l
335,2,10,w
336,5,4,w
337,5,6,w
338,4,7,w
339,2,8,w
340,4,1,w
341,2,1,l
342,7,4,w
343,5,7,w
344,9,6,l
345,2,5,l
346,9,5,w
347,8,6,l
348,1,3,w
349,6,10,w
350,1,10,l
351,10,6,l
352,4,6,l
353,10,2,l
354,2,9,l
355,1,5,l
356,8,3,w
357,6,8,l
358,2,1,l
359,10,3,w
360,8,7,l
361,1,7,l
362,1,5,l
363,9,2,w
364,7,5,w
365,5,10,l
366,1,6,w
367,10,3,w
368,6,10,l
369,5,2,l
370,8,7,l
371,4,5,w
372,6,1,l
373,7,3,l
374,9,7,w
375,2,10,w
376,8,5,l
377,6,10,l
378,9,2,l
379,7,1,l
380,2,3,l
381,6,4,w
382,3,6,w
383,4,10,w
384,6,3,w
385,3,1,l
386,8,4,w
387,9,8,w
388,1,4,w
389,4,1,l
390,3,1,w
391,3,2,w
392,7,8,w
393,1,6,l
394,2,6,w
395,7,4,w
396,5,2,l
397,5,9,l
398,2,4,w
399,2,1,w
400,1,6,l
401,6,4,w
402,7,5,w
403,7,1,w
404,10,4,w
405,10,1,w
406,2,1,l
407,3,5,l
408,6,5,w
409,2,7,w
410,7,6,l
411,6,1,w
412,5,6,l
413,6,4,w
414,3,9,w
415,9,3,l
416,1,4,w
417,1,4,w
418,3,9,w
419,4,5,l
420,6,4,w
421,10,8,l
422,3,2,l
423,8,1,l
424,4,7,w
425,3,1,l
426,1,2,l
427,7,1,l
428,7,3,l
429,8,5,l
430,3,5,l
431,8,2,l
432,4,6,w
433,4,2,w
434,5,2,l
435,9,8,l
436,10,4,l
437,6,9,w
438,3,9,l
439,3,10,l
440,9,8,l
441,8,3,l
442,4,2,l
443,6,4,l
444,7,2,l
445,6,8,w
446,2,1,l
447,3,5,w
448,8,4,w
449,1,3,l
450,3,2,w
451,10,9,w
452,1,2,l
453,4,9,w
454,8,1,l
455,3,7,w
456,6,1,w
457,10,3,w
458,1,4,l
459,4,9,l
460,7,2,w
461,8,3,l
462,9,10,w
463,2,5,l
464,6,1,w
465,2,1,w
466,3,2,l
467,2,1,l
468,7,8,w
469,2,4,w
470,6,3,l
471,4,5,l
472,4,1,w
473,8,7,w
474,10,5,l
475,6,3,l
476,4,8,w
477,8,2,l
478,3,1,w
479,3,2,l
480,8,1,l
481,5,9,w
482,4,1,l
483,9,1,w
484,1,7,l
485,1,5,w
486,1,9,w
487,4,2,w
488,10,2,l
489,10,1,w
490,7,9,l
491,1,9,l
492,7,5,l
493,1,7,l
494,5,8,w
495,3,5,w
496,4,5,w
497,6,1,w
498,5,1,l
499,4,6,w
500,10,7,l
501,1,4,l
502,2,6,w
503,8,3,l
504,10,4,w
505,7,4,w
506,7,8,w
507,5,6,l
508,2,1,l
509,8,5,w
510,6,10,l
511,10,7,l
512,1,5,w
513,5,8,l
514,5,9,w
515,10,2,l
516,5,8,l
517,4,9,l
518,4,5,l
519,5,10,l
520,5,7,w
521,9,2,l
522,10,9,w
523,9,10,w
524,9,4,l
525,3,10,l
526,3,10,l
527,3,5,l
528,10,7,l
529,2,10,l
530,7,3,w
531,2,5,l
532,4,2,l
533,5,2,l
534,10,7,l
535,3,9,l
536,6,3,l
537,10,4,w
538,2,8,l
539,2,10,l
540,9,2,l
541,9,7,w
542,7,3,w
543,4,10,w
544,4,10,w
545,1,3,l
546,7,6,w
547,2,9,w
548,7,4,l
549,5,3,w
550,5,8,l
551,5,3,l
552,4,10,w
553,3,8,l
554,2,4,l
555,2,5,l
556,8,4,l
557,7,9,l
558,10,2,l
559,7,4,l
560,4,1,l
561,5,3,l
562,8,5,w
563,4,7,l
564,10,3,l
565,4,3,l
566,2,9,l
567,3,6,l
568,4,6,w
569,8,1,l
570,8,6,w
571,3,1,w
572,1,6,w
573,6,8,l
574,6,2,l
575,1,2,w
576,6,4,w
577,5,10,w
578,8,6,w
579,5,4,w
580,3,9,l
581,3,7,l
582,5,10,w
583,8,2,w
584,5,10,l
585,3,5,w
586,7,5,w
587,7,2,w
588,2,3,w
589,7,3,w
590,5,7,l
591,10,5,l
592,3,8,l
593,8,2,l
594,7,9,w
595,9,10,l
596,6,4,w
597,7,8,l
598,3,9,w
599,3,10,w
600,3,8,w
601,3,2,l
602,9,7,w
603,5,10,w
604,10,9,l
605,8,7,w
606,3,6,w
607,1,7,w
608,6,10,l
609,5,3,w
610,2,4,l
611,10,7,w
612,3,4,l
613,3,9,w
614,7,3,l
615,4,6,l
616,5,1,l
617,7,6,w
618,2,4,l
