player,rating,elo,wins
RWKV-4-Raven-14B,0.05027056536476425,1208.7328916560296,1880
alpaca-13b,0.06673902653193325,1211.5937563801654,2292
chatglm-6b,-0.03303690600203278,1194.2609016096642,1627
claude-instant-v1,-0.04084104861700747,1192.9051831801964,1281
claude-v1,-0.015015970957334587,1197.391458669124,1941
dolly-v2-12b,0.02943853994707286,1205.113998181721,1408
fastchat-t5-3b,0.12254403180332787,1221.2880787209447,1697
gpt-3.5-turbo,0.02852970453050324,1204.9561172991712,2351
gpt-4,0.033038640112522895,1205.7393996361825,2135
gpt4all-13b-snoozy,-0.12518795887075634,1178.2526241046796,512
guanaco-33b,-0.07333562377010379,1187.2602973078845,496
koala-13b,0.0025191901798573514,1200.4376281575908,2779
llama-13b,0.06663797665275158,1211.576202218195,1034
mpt-7b-chat,0.013508454038503082,1202.3466588191861,1431
oasst-pythia-12b,0.02180821772538892,1203.7884754473125,2462
palm-2,-0.06857825420011947,1188.0867370489318,1421
stablelm-tuned-alpha-7b,0.052982788149495655,1209.2040530116699,1429
vicuna-13b,-0.035597965653405866,1193.8159999798977,2901
vicuna-7b,-0.07923608848563492,1186.2352816012365,1372
wizardlm-13b,-0.017187318479725752,1197.0142569702166,551
