player,rating,elo,wins
RWKV-4-Raven-14B,-0.4888483879440981,1115.0783370514312,878
alpaca-13b,-0.4408254146726161,1123.420781969988,1118
chatglm-6b,-0.7148460538871229,1075.8185213546033,649
claude-instant-v1,1.158562964532274,1401.2630009735358,1493
claude-v1,1.2971535763023778,1425.3386561476766,2390
dolly-v2-12b,-0.9680855941067069,1031.8263073877704,443
fastchat-t5-3b,-0.7373130718930108,1071.915600576692,611
gpt-3.5-turbo,0.9968311971204484,1373.1673153193694,2524
gpt-4,1.5405901646077294,1467.6279229454237,2888
gpt4all-13b-snoozy,-0.5412698591170577,1105.9717947859644,252
guanaco-33b,0.45566973819837314,1279.157941147941,436
koala-13b,0.107392614677488,1218.6560079806382,1901
llama-13b,-1.0179374768060738,1023.1661483602411,304
mpt-7b-chat,-0.48443478604816653,1115.8450582309194,671
oasst-pythia-12b,-0.5096717729926585,1111.4609445629767,1150
palm-2,0.27819167934447686,1248.326844500282,1125
stablelm-tuned-alpha-7b,-0.8593576433582014,1050.7142870032603,485
vicuna-13b,0.6450906721922363,1312.0637277041392,2667
vicuna-7b,-0.056165767972576205,1190.2430067590608,883
wizardlm-13b,0.33927322182288533,1258.937795238087,426
