player_no,bt_rating,elo_rating,wins
1,-0.281655,1151.1,97
2,-0.265490,1153.9,103
3,0.201813,1235.1,112
4,0.304817,1253.0,102
5,-0.021510,1196.3,85
6,0.246578,1242.8,123
7,-0.345340,1140.0,80
8,0.405723,1270.5,93
9,-0.600060,1095.8,95
10,0.065369,1211.4,106
11,-0.068113,1188.2,107
12,-0.100485,1182.5,85
13,0.002073,1200.4,103
14,0.210654,1236.6,101
15,0.478004,1283.0,112
16,0.647357,1312.5,106
17,0.096000,1216.7,104
18,-0.107533,1181.3,95
19,-0.570558,1100.9,98
20,-0.297645,1148.3,93
