player_no,bt_rating,elo_rating,wins
1,-0.173481,1169.9,97
2,-0.141064,1175.5,103
3,0.234168,1240.7,112
4,0.296167,1251.4,102
5,0.014291,1202.5,85
6,0.222229,1238.6,123
7,-0.328148,1143.0,80
8,0.235379,1240.9,93
9,-0.320782,1144.3,95
10,0.070349,1212.2,106
11,-0.113373,1180.3,107
12,-0.142791,1175.2,85
13,-0.016804,1197.1,103
14,0.149066,1225.9,101
15,0.251465,1243.7,112
16,0.423269,1273.5,106
17,0.135653,1223.6,104
18,-0.134732,1176.6,95
19,-0.420604,1126.9,98
20,-0.240258,1158.3,93
