player,bt_rating,elo,wins
1,1.9553236490285029,1539.6745084432036,97
2,1.8603674071775849,1523.1789196999541,103
3,2.2887295472614935,1597.5930451778377,112
4,2.0135118049798293,1549.7828264599186,102
5,1.8336309501821888,1518.5343214044565,85
6,2.325538592195084,1603.9874312173527,123
7,2.1929375905541124,1580.9522778943456,80
8,2.08957876025471,1562.9970100323435,93
9,2.1929375905541124,1580.9522778943456,95
10,2.1443020885252486,1572.5034258320534,106
11,2.1929375905541124,1580.9522778943456,107
12,2.1929375905541124,1580.9522778943456,85
13,2.1929375905541124,1580.9522778943456,103
14,2.0761369712279785,1560.6619321118565,101
15,2.1644802193008483,1576.0087261724395,112
16,2.0810327612465915,1561.512417947713,106
17,1.6911675597800033,1493.7858956744972,104
18,2.1929375905541124,1580.9522778943456,95
19,-39.87436344503885,-5726.886405434045,98
20,2.1929375905541124,1580.9522778943456,93
