player_no,bt_rating,elo_rating,wins
1,-0.100000,1182.6,97
2,-1.100000,1008.9,103
3,2.600000,1651.7,112
4,0.200000,1234.7,102
5,-1.300000,974.2,85
6,3.400000,1790.6,123
7,-2.300000,800.4,80
8,-0.100000,1182.6,93
9,0.500000,1286.9,95
10,0.400000,1269.5,106
11,-0.700000,1078.4,107
12,-1.500000,939.4,85
13,-0.000000,1200.0,103
14,-0.200000,1165.3,101
15,1.500000,1460.6,112
16,0.900000,1356.3,106
17,-0.100000,1182.6,104
18,-0.900000,1043.7,95
19,-0.600000,1095.8,98
20,-0.600000,1095.8,93
