player_no,bt_rating,elo_rating,wins
1,-0.001428,1199.8,97
2,-0.081734,1185.8,103
3,0.254342,1244.2,112
4,0.012790,1202.2,102
5,-0.138804,1175.9,85
6,0.312101,1254.2,123
7,-0.249637,1156.6,80
8,-0.010006,1198.3,93
9,0.066508,1211.6,95
10,0.040818,1207.1,106
11,-0.062807,1189.1,107
12,-0.150507,1173.9,85
13,0.015014,1202.6,103
14,-0.015025,1197.4,101
15,0.133388,1223.2,112
16,0.098441,1217.1,106
17,0.005749,1201.0,104
18,-0.100902,1182.5,95
19,-0.063134,1189.0,98
20,-0.065169,1188.7,93
