player,rating,elo,wins
RWKV-4-Raven-14B,0.048021982398077215,1208.342272786216,1880
alpaca-13b,0.07127225433675999,1212.381258708504,2292
chatglm-6b,-0.02287504312123667,1196.0261979996592,1627
claude-instant-v1,-0.05557683269377493,1190.3453152957734,1281
claude-v1,-0.011538535528373,1197.9955510763132,1941
dolly-v2-12b,0.04330805066607454,1207.523378970505,1408
fastchat-t5-3b,0.12210009855294547,1221.2109596165549,1697
gpt-3.5-turbo,0.031094550686157397,1205.4016767121036,2351
gpt-4,0.03355691668576087,1205.8294334985253,2135
gpt4all-13b-snoozy,-0.14212478209344676,1175.3103965580456,512
guanaco-33b,-0.0880687257418037,1184.7008953528334,496
koala-13b,0.009368122922368143,1201.6274096363904,2779
llama-13b,0.08590550935001119,1214.9233154703193,1034
mpt-7b-chat,0.007733289890336045,1201.3434100505324,1431
oasst-pythia-12b,0.027137918405225805,1204.714339285492,2462
palm-2,-0.07417495686499807,1187.1144902152478,1421
stablelm-tuned-alpha-7b,0.06605979555611684,1211.4757618742715,1429
vicuna-13b,-0.024856256701831933,1195.6820259494496,2901
vicuna-7b,-0.08625124630797908,1185.0166238684667,1372
wizardlm-13b,-0.040092110396389324,1193.0352870747968,551
