player,rating,elo,wins
RWKV-4-Raven-14B,-0.4888483879440987,1115.0783370514312,878
alpaca-13b,-0.4408254146726165,1123.420781969988,1118
chatglm-6b,-0.7148460538871241,1075.818521354603,649
claude-instant-v1,1.1585629645322766,1401.2630009735362,1493
claude-v1,1.2971535763023798,1425.3386561476768,2390
dolly-v2-12b,-0.968085594106709,1031.82630738777,443
fastchat-t5-3b,-0.7373130718930121,1071.9156005766918,611
gpt-3.5-turbo,0.9968311971204498,1373.1673153193697,2524
gpt-4,1.5405901646077316,1467.627922945424,2888
gpt4all-13b-snoozy,-0.5412698591170609,1105.971794785964,252
guanaco-33b,0.4556697381983753,1279.1579411479415,436
koala-13b,0.10739261467748838,1218.6560079806382,1901
llama-13b,-1.0179374768060765,1023.1661483602406,304
mpt-7b-chat,-0.48443478604816737,1115.8450582309194,671
oasst-pythia-12b,-0.509671772992659,1111.4609445629765,1150
palm-2,0.2781916793444776,1248.3268445002823,1125
stablelm-tuned-alpha-7b,-0.8593576433582032,1050.7142870032599,485
vicuna-13b,0.645090672192237,1312.0637277041392,2667
vicuna-7b,-0.056165767972576164,1190.2430067590608,883
wizardlm-13b,0.3392732218228869,1258.9377952380871,426
