player_no,bt_rating,elo_rating,wins
1,-3.615877,571.9,3.0
2,1.332297,1431.4,5.0
3,-7.722580,-141.5,1.0
4,1.031082,1379.1,5.0
5,-0.068392,1188.1,4.0
6,-4.022572,501.2,3.0
7,3.404953,1791.5,5.0
8,-3.191215,645.6,2.0
9,2.962147,1714.6,6.0
10,-0.615649,1093.1,3.0
11,0.674892,1317.2,5.0
12,0.780259,1335.5,5.0
13,4.320164,1950.5,6.0
14,0.148378,1225.8,5.0
15,-1.255289,981.9,4.0
16,-2.988397,680.9,3.0
17,-4.290316,454.7,3.0
18,2.104402,1565.6,6.0
19,-7.453132,-94.7,1.0
20,1.243861,1416.1,6.0
21,-0.022239,1196.1,4.0
22,2.281905,1596.4,7.0
23,2.338835,1606.3,5.0
24,5.744791,2198.0,7.0
25,3.039483,1728.0,6.0
26,1.494211,1459.6,5.0
27,0.798898,1338.8,4.0
28,-2.244625,810.1,3.0
29,-3.830592,534.6,2.0
30,0.512749,1289.1,4.0
31,4.021536,1898.6,7.0
32,2.668293,1663.5,7.0
33,3.319488,1776.7,6.0
34,-2.474291,770.2,4.0
35,0.212402,1236.9,4.0
36,-1.625099,917.7,3.0
37,3.003285,1721.7,7.0
38,0.447937,1277.8,6.0
39,-0.683589,1081.2,5.0
40,0.961907,1367.1,5.0
41,-4.187912,472.5,2.0
42,5.521628,2159.2,7.0
43,-2.730322,725.7,3.0
44,-3.218719,640.9,4.0
45,2.256904,1592.1,6.0
46,0.168821,1229.3,4.0
47,-2.045998,844.6,4.0
48,3.986323,1892.5,6.0
49,-1.077922,1012.7,4.0
50,-0.795021,1061.9,4.0
51,0.716986,1324.6,5.0
52,-0.032711,1194.3,4.0
53,-0.811150,1059.1,4.0
54,2.393687,1615.8,6.0
55,-7.023142,-20.0,2.0
56,1.805655,1513.7,6.0
57,0.717640,1324.7,5.0
58,2.816351,1689.3,5.0
59,-5.076622,318.1,2.0
60,3.261074,1766.5,7.0
61,4.133291,1918.0,6.0
62,1.604191,1478.7,5.0
63,2.279257,1595.9,5.0
64,-0.222761,1161.3,5.0
65,-0.072140,1187.5,4.0
66,-0.750754,1069.6,4.0
67,-4.535344,412.1,2.0
68,2.490858,1632.7,6.0
69,1.431726,1448.7,6.0
70,-6.686025,38.5,1.0
71,-1.515148,936.8,4.0
72,1.336481,1432.2,4.0
73,-0.440265,1123.5,4.0
74,2.331483,1605.0,5.0
75,-8.022956,-193.7,1.0
76,-0.967173,1032.0,5.0
77,6.548326,2337.6,7.0
78,-0.999508,1026.4,4.0
79,-2.512749,763.5,3.0
