player_no,bt_rating,elo_rating,wins
1,-3.810447,538.1,3.0
2,1.336695,1432.2,5.0
3,-8.345835,-249.8,1.0
4,1.054373,1383.2,5.0
5,-0.087735,1184.8,4.0
6,-4.340045,446.1,3.0
7,3.468952,1802.6,5.0
8,-3.309636,625.1,2.0
9,3.016421,1724.0,6.0
10,-0.651792,1086.8,3.0
11,0.677516,1317.7,5.0
12,0.779023,1335.3,5.0
13,4.392371,1963.0,6.0
14,0.110791,1219.2,5.0
15,-1.319608,970.8,4.0
16,-3.865107,528.6,3.0
17,-4.499710,418.3,3.0
18,2.138064,1571.4,6.0
19,-7.959870,-182.8,1.0
20,1.238097,1415.1,6.0
21,-0.055792,1190.3,4.0
22,2.298996,1599.4,7.0
23,2.380891,1613.6,5.0
24,5.905620,2225.9,7.0
25,3.087375,1736.3,6.0
26,1.508300,1462.0,5.0
27,0.798631,1338.7,4.0
28,-2.331880,794.9,3.0
29,-4.029512,500.0,2.0
30,0.508179,1288.3,4.0
31,4.092610,1911.0,7.0
32,2.700660,1669.2,7.0
33,3.381709,1787.5,6.0
34,-2.642964,740.9,4.0
35,0.204232,1235.5,4.0
36,-1.677174,908.6,3.0
37,3.049888,1729.8,7.0
38,0.424920,1273.8,6.0
39,-0.754571,1068.9,5.0
40,0.956989,1366.2,5.0
41,-4.381721,438.8,2.0
42,5.610326,2174.6,7.0
43,-2.840490,706.6,3.0
44,-3.458386,599.2,4.0
45,2.289495,1597.7,6.0
46,0.166066,1228.8,4.0
47,-2.179121,821.4,4.0
48,4.065754,1906.3,6.0
49,-1.129995,1003.7,4.0
50,-0.822586,1057.1,4.0
51,0.690783,1320.0,5.0
52,-0.044781,1192.2,4.0
53,-0.860196,1050.6,4.0
54,2.433677,1622.8,6.0
55,-7.563826,-114.0,2.0
56,1.823967,1516.9,6.0
57,0.720649,1325.2,5.0
58,2.867003,1698.0,5.0
59,-5.351537,270.3,2.0
60,3.310721,1775.1,7.0
61,4.207034,1930.8,6.0
62,1.620828,1481.6,5.0
63,2.312620,1601.7,5.0
64,-0.237267,1158.8,5.0
65,-0.077830,1186.5,4.0
66,-0.792096,1062.4,4.0
67,-4.927974,343.9,2.0
68,2.524861,1638.6,6.0
69,1.433771,1449.1,6.0
70,-7.534235,-108.8,1.0
71,-1.581849,925.2,4.0
72,1.367084,1437.5,4.0
73,-0.459121,1120.2,4.0
74,2.375420,1612.7,5.0
75,-9.026531,-368.1,1.0
76,-1.046913,1018.1,5.0
77,6.761533,2374.6,7.0
78,-1.074196,1013.4,4.0
79,-2.673197,735.6,3.0
80,1.964548,1541.3,6.0
81,2.894199,1702.8,6.0
82,-0.135696,1176.4,5.0
83,-7.340874,-75.2,1.0
84,3.506723,1809.2,6.0
85,1.586781,1475.7,5.0
86,0.764457,1332.8,5.0
87,-0.178199,1169.0,5.0
88,-0.559986,1102.7,4.0
89,-5.353950,269.9,2.0
90,1.350010,1434.5,5.0
91,-1.226271,987.0,4.0
92,3.932325,1883.1,7.0
93,8.101230,2607.3,8.0
94,2.581202,1648.4,6.0
95,2.221660,1585.9,5.0
96,1.023766,1377.8,4.0
97,4.233641,1935.5,7.0
98,0.560411,1297.4,6.0
99,0.765738,1333.0,5.0
100,-2.384664,785.7,3.0
101,-0.277563,1151.8,4.0
102,-4.668081,389.1,2.0
103,1.238981,1415.2,5.0
104,0.001006,1200.2,4.0
105,2.668131,1663.5,6.0
106,-2.676353,735.1,3.0
107,2.286494,1597.2,6.0
108,0.778214,1335.2,4.0
109,-2.701178,730.8,4.0
110,-0.646725,1087.7,5.0
111,2.848065,1694.8,6.0
112,-0.282814,1150.9,3.0
113,-1.532582,933.8,4.0
114,-0.795648,1061.8,4.0
115,1.674935,1491.0,6.0
116,0.526318,1291.4,3.0
117,-1.901756,869.6,4.0
118,0.542778,1294.3,5.0
119,3.037961,1727.7,6.0
120,1.347115,1434.0,5.0
121,-2.788694,715.6,3.0
122,-0.876109,1047.8,3.0
123,-0.791060,1062.6,4.0
124,0.510161,1288.6,5.0
125,-2.854801,704.1,3.0
126,1.697631,1494.9,5.0
127,-2.310916,798.6,4.0
128,-0.202630,1164.8,4.0
129,-1.189131,993.4,4.0
130,-2.152300,826.1,3.0
131,-0.188625,1167.2,5.0
132,-1.009480,1024.6,4.0
133,0.798321,1338.7,5.0
134,-0.086534,1185.0,5.0
135,-1.363574,963.1,5.0
136,-7.613378,-122.6,2.0
137,-3.205040,643.2,3.0
138,7.623053,2524.3,7.0
139,0.737655,1328.1,5.0
140,-1.804845,886.5,4.0
141,21.364952,4911.5,8.0
142,-2.864979,702.3,3.0
143,0.796673,1338.4,6.0
144,-0.644532,1088.0,4.0
145,-3.946198,514.5,2.0
146,3.368304,1785.1,5.0
147,0.964545,1367.6,5.0
148,-3.929274,517.4,2.0
149,3.942633,1884.9,6.0
150,-0.947497,1035.4,4.0
151,-2.491169,767.2,4.0
152,-5.718783,206.5,2.0
153,-1.236721,985.2,4.0
154,-2.592932,749.6,5.0
155,-2.879321,699.8,3.0
156,-0.360285,1137.4,5.0
157,0.284056,1249.3,4.0
158,-6.395522,89.0,2.0
159,-2.065191,841.2,3.0
160,-2.691644,732.4,3.0
161,-8.069192,-201.8,0
162,1.553903,1469.9,6.0
163,5.561597,2166.1,7.0
164,-4.192894,471.6,2.0
165,-3.546845,583.8,4.0
166,-6.569391,58.8,3.0
167,4.508361,1983.2,6.0
168,2.763807,1680.1,5.0
169,-1.781269,890.6,3.0
170,-2.323050,796.4,3.0
171,-0.451716,1121.5,5.0
172,-2.728951,725.9,3.0
173,-3.901863,522.2,4.0
174,-0.967742,1031.9,4.0
175,-1.145378,1001.0,4.0
176,-0.564202,1102.0,4.0
177,-6.891119,2.9,2.0
