player_no,bt_rating,elo_rating,wins
1,-1.785580,889.8,3
2,0.754255,1331.0,5
3,-3.264079,633.0,1
4,0.327287,1256.9,5
5,0.049147,1208.5,4
6,-1.956670,860.1,3
7,1.645261,1485.8,5
8,-1.414530,954.3,2
9,1.290356,1424.2,6
10,0.030200,1205.2,3
11,0.465201,1280.8,5
12,0.525893,1291.4,5
13,2.032427,1553.1,6
14,0.289976,1250.4,5
15,-0.637161,1089.3,4
16,-1.751888,895.7,3
17,-2.057073,842.6,3
18,1.157697,1401.1,6
19,-2.538145,759.1,1
20,0.856446,1348.8,6
21,0.217213,1237.7,4
22,1.185154,1405.9,7
23,1.227965,1413.3,5
24,2.442332,1624.3,7
25,1.514795,1463.1,6
26,1.037564,1380.2,5
27,0.496934,1286.3,4
28,-1.151661,999.9,3
29,-1.746791,896.6,2
30,0.320907,1255.7,4
31,1.947067,1538.2,7
32,1.358135,1435.9,7
33,1.580061,1474.5,6
34,-0.951115,1034.8,4
35,0.028979,1205.0,4
36,-0.841883,1053.8,3
37,1.661205,1488.6,7
38,0.472487,1282.1,6
39,-0.336210,1141.6,5
40,0.673468,1317.0,5
41,-2.052677,843.4,2
42,2.535864,1640.5,7
43,-1.229506,986.4,3
44,-1.347960,965.8,4
45,1.204095,1409.2,6
46,0.044134,1207.7,4
47,-0.535392,1107.0,4
48,1.472377,1455.8,6
49,-0.501970,1112.8,4
50,-0.300849,1147.7,4
51,0.772522,1334.2,5
52,0.006812,1201.2,4
53,-0.311770,1145.8,4
54,1.073694,1386.5,6
55,-3.127521,656.7,2
56,1.140248,1398.1,6
57,0.487300,1284.7,5
58,1.153859,1400.4,5
59,-2.264609,806.6,2
60,1.481738,1457.4,7
61,2.068194,1559.3,6
62,0.926009,1360.9,5
63,1.187880,1406.4,5
64,-0.142085,1175.3,5
65,-0.058465,1189.8,4
66,-0.384088,1133.3,4
67,-2.179193,821.4,2
68,1.474746,1456.2,6
69,0.622648,1308.2,6
70,-2.584784,751.0,1
71,-0.754285,1069.0,4
72,0.553423,1296.1,4
73,-0.484538,1115.8,4
74,1.129167,1396.2,5
75,-3.731855,551.7,1
76,-0.280801,1151.2,5
77,2.310362,1601.4,7
78,-0.383111,1133.4,4
79,-1.056860,1016.4,3
80,0.995573,1372.9,6
81,1.341643,1433.1,6
82,-0.091381,1184.1,5
83,-3.240633,637.0,1
84,1.662783,1488.9,6
85,0.568530,1298.8,5
86,0.666927,1315.9,5
87,0.064025,1211.1,5
88,-0.200227,1165.2,4
89,-2.242389,810.5,2
90,0.723586,1325.7,5
91,-0.453409,1121.2,4
92,1.856776,1522.6,7
93,3.117643,1741.6,8
94,1.584607,1475.3,6
95,0.740877,1328.7,5
96,0.247772,1243.0,4
97,1.931578,1535.5,7
98,0.628374,1309.2,6
99,0.463264,1280.5,5
100,-1.073707,1013.5,3
101,-0.093258,1183.8,4
102,-1.777981,891.1,2
103,0.686170,1319.2,5
104,-0.218470,1162.0,4
105,1.228203,1413.4,6
106,-1.246054,983.5,3
107,1.241908,1415.7,6
108,0.416236,1272.3,4
109,-1.052423,1017.2,4
110,-0.066830,1188.4,5
111,1.620840,1481.6,6
112,-0.325314,1143.5,3
113,-0.560141,1102.7,4
114,-0.106633,1181.5,4
115,0.888372,1354.3,6
116,-0.065249,1188.7,3
117,-0.670978,1083.4,4
118,0.552122,1295.9,5
119,1.314457,1428.3,6
120,0.708623,1323.1,5
121,-1.255869,981.8,3
122,-0.322707,1143.9,3
123,-0.349841,1139.2,4
124,0.413292,1271.8,5
125,-1.303688,973.5,3
126,0.561464,1297.5,5
127,-0.827585,1056.2,4
128,-0.053098,1190.8,4
129,-0.520228,1109.6,4
130,-1.153288,999.7,3
131,0.075224,1213.1,5
132,-0.305783,1146.9,4
133,0.374472,1265.1,5
134,0.124727,1221.7,5
135,-0.048943,1191.5,5
136,-2.626761,743.7,2
137,-1.298655,974.4,3
138,2.264757,1593.4,7
139,0.399387,1269.4,5
140,-0.791821,1062.4,4
141,3.463431,1801.7,8
142,-1.309477,972.5,3
143,0.584265,1301.5,6
144,-0.346408,1139.8,4
145,-1.961172,859.3,2
146,1.511084,1462.5,5
147,0.726317,1326.2,5
148,-1.700023,904.7,2
149,1.861967,1523.5,6
150,-0.305083,1147.0,4
151,-0.971672,1031.2,4
152,-2.282226,803.5,2
153,-0.561476,1102.5,4
154,-0.748371,1070.0,5
155,-1.434411,950.8,3
156,0.107610,1218.7,5
157,0.119410,1220.7,4
158,-2.570927,753.4,2
159,-0.815011,1058.4,3
160,-1.312310,972.0,3
161,-4.057364,495.2,0
162,0.864795,1350.2,6
163,2.506242,1635.4,7
164,-1.624033,917.9,2
165,-1.236192,985.3,4
166,-2.496703,766.3,3
167,1.904506,1530.8,6
168,1.356123,1435.6,5
169,-0.835669,1054.8,3
170,-1.024265,1022.1,3
171,-0.194081,1166.3,5
172,-1.184501,994.2,3
173,-1.467965,945.0,4
174,-0.473269,1117.8,4
175,-0.456095,1120.8,4
176,-0.015058,1197.4,4
177,-2.597169,748.8,2
178,-1.098383,1009.2,3
179,-2.211803,815.8,2
180,0.449352,1278.1,5
181,0.446473,1277.6,5
182,1.096511,1390.5,6
183,-2.160439,824.7,2
184,-0.463231,1119.5,4
185,-0.392117,1131.9,4
186,-0.076987,1186.6,4
187,-0.402883,1130.0,5
188,-0.024983,1195.7,4
189,1.397122,1442.7,7
190,-1.177964,995.4,4
191,-0.539897,1106.2,5
192,-2.610734,746.5,2
193,-1.053344,1017.0,3
194,-0.880100,1047.1,4
195,1.549490,1469.2,6
196,-1.025684,1021.8,4
197,-0.277282,1151.8,4
198,-1.005630,1025.3,3
199,2.628737,1656.7,8
200,1.791082,1511.1,6
201,-0.151093,1173.8,4
202,0.675493,1317.3,5
