player_no,bt_rating,elo_rating,wins
1,-0.300000,1147.9,3
2,0.100000,1217.4,5
3,-0.700000,1078.4,1
4,0.100000,1217.4,5
5,-0.100000,1182.6,4
6,-0.300000,1147.9,3
7,0.100000,1217.4,5
8,-0.500000,1113.1,2
9,0.300000,1252.1,6
10,-0.300000,1147.9,3
11,0.100000,1217.4,5
12,0.100000,1217.4,5
13,0.300000,1252.1,6
14,0.100000,1217.4,5
15,-0.100000,1182.6,4
16,-0.300000,1147.9,3
17,-0.300000,1147.9,3
18,0.300000,1252.1,6
19,-0.700000,1078.4,1
20,0.300000,1252.1,6
21,-0.100000,1182.6,4
22,0.500000,1286.9,7
23,0.100000,1217.4,5
24,0.500000,1286.9,7
25,0.300000,1252.1,6
26,0.100000,1217.4,5
27,-0.100000,1182.6,4
28,-0.300000,1147.9,3
29,-0.500000,1113.1,2
30,-0.100000,1182.6,4
31,0.500000,1286.9,7
32,0.500000,1286.9,7
33,0.300000,1252.1,6
34,-0.100000,1182.6,4
35,-0.100000,1182.6,4
36,-0.300000,1147.9,3
37,0.500000,1286.9,7
38,0.300000,1252.1,6
39,0.100000,1217.4,5
40,0.100000,1217.4,5
41,-0.500000,1113.1,2
42,0.500000,1286.9,7
43,-0.300000,1147.9,3
44,-0.100000,1182.6,4
45,0.300000,1252.1,6
46,-0.100000,1182.6,4
47,-0.100000,1182.6,4
48,0.300000,1252.1,6
49,-0.100000,1182.6,4
50,-0.100000,1182.6,4
51,0.100000,1217.4,5
52,-0.100000,1182.6,4
53,-0.100000,1182.6,4
54,0.300000,1252.1,6
55,-0.500000,1113.1,2
56,0.300000,1252.1,6
57,0.100000,1217.4,5
58,0.100000,1217.4,5
59,-0.500000,1113.1,2
60,0.500000,1286.9,7
61,0.300000,1252.1,6
62,0.100000,1217.4,5
63,0.100000,1217.4,5
64,0.100000,1217.4,5
65,-0.100000,1182.6,4
66,-0.100000,1182.6,4
67,-0.500000,1113.1,2
68,0.300000,1252.1,6
69,0.300000,1252.1,6
70,-0.700000,1078.4,1
71,-0.100000,1182.6,4
72,-0.100000,1182.6,4
73,-0.100000,1182.6,4
74,0.100000,1217.4,5
75,-0.700000,1078.4,1
76,0.100000,1217.4,5
77,0.500000,1286.9,7
78,-0.100000,1182.6,4
79,-0.300000,1147.9,3
80,0.300000,1252.1,6
81,0.300000,1252.1,6
82,0.100000,1217.4,5
83,-0.700000,1078.4,1
84,0.300000,1252.1,6
85,0.100000,1217.4,5
86,0.100000,1217.4,5
87,0.100000,1217.4,5
88,-0.100000,1182.6,4
89,-0.500000,1113.1,2
90,0.100000,1217.4,5
91,-0.100000,1182.6,4
92,0.500000,1286.9,7
93,0.700000,1321.6,8
94,0.300000,1252.1,6
95,0.100000,1217.4,5
96,-0.100000,1182.6,4
97,0.500000,1286.9,7
98,0.300000,1252.1,6
99,0.100000,1217.4,5
100,-0.300000,1147.9,3
101,-0.100000,1182.6,4
102,-0.500000,1113.1,2
103,0.100000,1217.4,5
104,-0.100000,1182.6,4
105,0.300000,1252.1,6
106,-0.300000,1147.9,3
107,0.300000,1252.1,6
108,-0.100000,1182.6,4
109,-0.100000,1182.6,4
110,0.100000,1217.4,5
111,0.300000,1252.1,6
112,-0.300000,1147.9,3
113,-0.100000,1182.6,4
114,-0.100000,1182.6,4
115,0.300000,1252.1,6
116,-0.300000,1147.9,3
117,-0.100000,1182.6,4
118,0.100000,1217.4,5
119,0.300000,1252.1,6
120,0.100000,1217.4,5
121,-0.300000,1147.9,3
122,-0.300000,1147.9,3
123,-0.100000,1182.6,4
124,0.100000,1217.4,5
125,-0.300000,1147.9,3
126,0.100000,1217.4,5
127,-0.100000,1182.6,4
128,-0.100000,1182.6,4
129,-0.100000,1182.6,4
130,-0.300000,1147.9,3
131,0.100000,1217.4,5
132,-0.100000,1182.6,4
133,0.100000,1217.4,5
134,0.100000,1217.4,5
135,0.100000,1217.4,5
136,-0.500000,1113.1,2
