player_no,bt_rating,elo_rating,wins
1,2.567004,1645.9,4.0
2,-0.070032,1187.8,3.0
3,0.154138,1226.8,2.0
4,8.890922,2744.5,5.0
5,2.711642,1671.1,3.0
6,-9.392034,-431.6,0
7,-1.902165,869.6,2.0
8,-5.640558,220.1,1.0
9,0.297624,1251.7,3.0
10,2.202338,1582.6,3.0
11,-5.160438,303.5,1.0
12,-0.382921,1133.5,2.0
13,0.936328,1362.7,2.0
14,-2.158292,825.1,1.0
15,2.619986,1655.1,4.0
16,2.647172,1659.9,4.0
17,0.820988,1342.6,2.0
18,0.116252,1220.2,3.0
19,2.277861,1595.7,3.0
20,-1.535814,933.2,2.0
