player_id,mu,sigma,conservative(mu-3.0σ),elo(mu≈),elo_conservative(mu-3.0σ≈)
4,50.459545,0.000032,50.459450,1253.85,1253.85
12,46.169235,0.000032,46.169140,1244.27,1244.27
19,45.324888,0.000032,45.324793,1242.38,1242.38
11,42.606331,0.000032,42.606236,1236.31,1236.31
20,40.662198,0.000032,40.662103,1231.97,1231.97
13,39.891830,0.000032,39.891735,1230.25,1230.25
14,38.968189,0.000032,38.968094,1228.18,1228.18
9,36.262252,0.000032,36.262157,1222.14,1222.14
3,35.409915,0.000032,35.409820,1220.23,1220.23
6,32.964459,0.000032,32.964364,1214.77,1214.77
1,32.935676,0.138773,32.519357,1214.71,1213.78
15,31.563257,0.000032,31.563162,1211.64,1211.64
17,30.424697,0.000032,30.424602,1209.10,1209.10
5,28.553430,0.000032,28.553335,1204.92,1204.92
7,13.500234,0.000032,13.500139,1171.29,1171.29
2,13.134718,0.099172,12.837203,1170.47,1169.81
10,11.004834,0.000032,11.004739,1165.72,1165.72
18,10.224525,0.000032,10.224430,1163.97,1163.97
16,7.591470,0.000032,7.591376,1158.09,1158.09
8,6.910472,0.000032,6.910377,1156.57,1156.57
