player_no,bt_rating,elo_rating,wins
1,-0.007468,1198.7,97
2,-0.083371,1185.5,103
3,0.256201,1244.5,112
4,0.032554,1205.7,102
5,-0.142434,1175.3,85
6,0.301332,1252.3,123
7,-0.235182,1159.1,80
8,-0.001748,1199.7,93
9,0.054271,1209.4,95
10,0.017780,1203.1,106
11,-0.063436,1189.0,107
12,-0.155874,1172.9,85
13,0.020538,1203.6,103
14,-0.009851,1198.3,101
15,0.130507,1222.7,112
16,0.098202,1217.1,106
17,-0.003435,1199.4,104
18,-0.092564,1183.9,95
19,-0.060635,1189.5,98
20,-0.055387,1190.4,93
