player_no,bt_rating,elo_rating,wins
1,0.041086,1207.1,97
2,-0.347214,1139.7,103
3,0.116466,1220.2,112
4,0.177542,1230.8,102
5,-0.254487,1155.8,85
6,0.226764,1239.4,123
7,-0.126914,1178.0,80
8,-0.163591,1171.6,93
9,0.142220,1224.7,95
10,0.249590,1243.4,106
11,-0.289494,1149.7,107
12,-0.415011,1127.9,85
13,0.116994,1220.3,103
14,0.063569,1211.0,101
15,0.218323,1237.9,112
16,0.163688,1228.4,106
17,0.094263,1216.4,104
18,-0.003788,1199.3,95
19,-0.084322,1185.4,98
20,0.074318,1212.9,93
