player_no,bt_rating,elo_rating,wins
1,-0.000417,1199.9,97
2,-0.036315,1193.7,103
3,0.243189,1242.2,112
4,0.045478,1207.9,102
5,-0.101660,1182.3,85
6,0.198963,1234.6,123
7,-0.223819,1161.1,80
8,0.019998,1203.5,93
9,0.045707,1207.9,95
10,-0.002076,1199.6,106
11,-0.056792,1190.1,107
12,-0.097674,1183.0,85
13,-0.040643,1192.9,103
14,0.008861,1201.5,101
15,0.083034,1214.4,112
16,0.032220,1205.6,106
17,0.026501,1204.6,104
18,-0.089730,1184.4,95
19,-0.042262,1192.7,98
20,-0.012562,1197.8,93
