game_no,player_first,player_second,result
1048,12,20,l
1017,6,3,l
1684,10,5,w
59,5,14,l
824,20,19,l
595,11,3,l
1314,12,11,w
708,13,16,w
957,1,8,l
1524,6,19,w
1430,6,8,l
1771,15,4,l
754,7,11,l
117,11,14,w
1826,6,19,w
53,20,1,w
1035,9,7,l
1422,20,8,w
680,7,5,w
1469,18,17,l
1165,12,4,w
1535,5,6,w
678,13,4,l
1936,2,11,l
643,17,19,w
860,17,7,l
584,15,11,l
1734,18,20,l
1344,12,2,w
1177,17,1,l
278,5,13,l
1294,9,16,w
1714,17,5,w
1009,12,5,l
163,16,5,w
1848,6,8,l
233,14,20,l
336,14,16,l
898,10,4,l
1270,13,10,l
1370,10,15,l
1049,13,20,w
1817,8,18,l
260,7,14,w
1405,11,18,l
589,20,15,l
1167,16,17,l
1006,10,15,w
1273,2,16,w
802,6,17,w
991,15,2,w
1286,11,13,w
887,17,11,w
1373,7,1,w
35,9,17,l
796,5,8,l
1336,12,3,w
606,17,14,l
1263,6,2,w
1418,11,12,w
269,10,5,l
543,1,2,l
649,1,3,w
1998,6,10,w
869,13,6,w
1267,11,19,l
410,20,7,w
10,18,15,l
1772,15,20,l
881,11,9,w
1366,14,17,w
373,9,12,w
1249,4,2,w
1081,11,20,w
1986,13,14,w
1943,10,18,w
1892,10,1,l
1582,11,14,w
1616,2,3,w
1597,5,11,w
1939,2,10,l
1945,1,2,w
1758,16,3,w
1234,16,13,w
1126,18,5,l
96,7,11,w
1044,12,15,l
1737,2,4,w
836,1,12,l
482,9,16,w
89,1,12,w
320,13,3,l
1401,20,12,l
290,17,18,l
57,18,16,w
1725,20,19,l
142,17,18,w
1997,5,6,l
883,19,17,l
1256,18,19,l
1495,9,5,w
1254,2,3,l
318,8,2,l
1184,16,12,l
542,8,3,l
816,6,9,l
354,14,11,l
130,6,16,l
312,2,20,l
1479,16,18,w
1763,15,7,w
923,3,14,w
1365,17,13,w
994,15,9,w
374,1,6,w
1455,4,3,l
459,12,2,w
1572,4,11,w
646,12,14,l
1292,10,9,w
1650,19,15,l
665,11,8,l
1386,8,19,w
1815,5,8,l
509,12,19,w
1885,7,18,l
895,17,13,w
1675,10,18,w
1429,17,7,w
289,11,18,w
270,1,14,w
458,18,11,w
231,1,7,w
965,8,11,w
947,9,14,w
1647,15,14,l
1659,10,3,w
136,16,17,w
362,17,11,w
101,14,8,w
328,2,13,l
355,19,5,l
1248,14,2,w
1872,18,11,w
654,8,2,l
84,12,2,w
1433,1,11,w
1021,11,2,l
1348,7,6,l
77,16,17,w
1288,9,1,w
1261,13,2,w
832,1,4,w
1170,3,17,w
579,6,11,l
1689,13,8,w
1732,6,13,w
1896,4,6,l
1662,4,9,w
1124,15,17,w
800,8,11,l
6,5,13,l
1829,4,15,w
1834,14,9,w
1660,13,4,w
1157,3,20,w
866,18,5,l
1260,5,14,w
461,1,10,w
1543,1,7,w
1593,3,11,l
1591,11,10,l
237,5,10,w
1588,2,10,w
1677,3,10,w
71,1,3,w
1740,16,19,w
1536,16,1,l
119,2,4,w
1055,17,9,w
1221,13,10,l
936,4,14,w
1144,4,14,l
1840,11,20,l
241,10,14,w
821,4,2,l
1474,13,10,l
177,20,7,l
1011,12,4,l
126,4,17,w
102,15,3,l
737,11,8,l
804,10,11,w
424,7,4,l
445,18,15,l
104,16,10,l
559,8,12,w
321,2,9,l
1486,8,5,w
1558,5,16,w
1346,7,14,w
382,7,18,l
225,18,6,l
1534,9,1,l
661,13,9,l
1929,3,17,w
1359,19,7,w
122,6,1,w
273,20,19,l
1637,15,17,w
808,14,2,l
44,13,15,l
977,8,10,l
1925,17,16,w
1664,13,16,l
1087,9,15,l
1755,10,11,w
1188,4,16,l
556,3,8,l
747,15,6,w
488,18,4,w
186,14,3,w
1784,2,10,l
1679,7,6,l
1975,7,3,w
323,11,4,w
1547,17,11,w
192,15,19,l
451,11,4,w
706,15,5,w
690,2,11,w
38,14,2,w
230,12,8,w
631,11,10,l
1255,11,2,w
1691,8,11,l
1953,4,10,l
586,2,5,l
148,8,12,w
1710,13,9,w
1916,4,15,l
921,15,6,l
78,15,12,l
894,1,16,w
1747,1,10,w
528,13,4,w
598,6,10,l
1545,18,14,l
1095,6,17,w
807,7,17,l
1125,19,17,w
882,13,2,w
1827,3,5,l
441,17,7,w
713,18,17,l
1151,16,8,w
1638,17,1,w
1098,5,11,l
1343,14,2,l
37,19,17,w
1587,11,6,l
307,4,9,w
1632,5,8,w
1488,11,7,l
772,13,3,l
1127,11,6,w
271,19,2,w
884,1,3,l
950,6,3,l
154,2,7,l
1779,5,1,l
963,9,12,l
558,18,1,w
27,1,3,w
116,8,6,l
1216,1,13,l
1179,9,4,l
349,2,6,l
31,20,8,w
486,2,11,w
1447,18,11,w
1132,15,20,w
1415,19,20,l
959,10,4,l
1326,16,9,l
1008,14,17,w
778,5,10,l
1811,18,16,l
1608,1,8,l
1134,2,16,l
298,20,9,l
146,19,20,w
1862,5,15,l
1578,17,15,l
1611,19,15,l
1402,5,18,w
780,15,16,l
937,4,16,w
989,13,7,l
1293,3,12,w
554,1,17,w
1918,11,20,w
1333,11,10,l
1613,1,13,w
114,10,19,l
1088,9,14,l
1644,19,15,w
1502,18,13,w
1527,6,11,w
164,20,16,w
217,17,19,w
599,3,18,l
1266,19,13,l
275,5,20,l
303,7,15,w
500,16,11,l
1646,8,6,l
1,9,2,w
1962,15,14,w
1645,9,18,w
1654,16,10,w
1250,17,2,w
566,15,18,w
294,4,15,w
1617,1,14,w
1227,10,1,l
1296,17,11,l
539,17,6,l
1778,13,10,w
1464,13,9,w
1667,2,3,l
149,10,16,w
380,20,3,w
1224,5,9,l
725,16,6,l
949,12,4,l
788,15,1,w
288,18,11,l
329,14,1,w
1206,2,15,w
1941,18,16,w
1477,13,6,l
798,7,6,w
699,18,14,l
34,3,7,w
819,17,5,l
1013,13,20,w
1518,14,8,l
663,19,18,l
47,7,6,l
1648,8,20,l
1220,19,13,l
1620,5,19,w
1913,4,20,l
