player_no,bt_rating,elo_rating,wins
1,21.000162,4848.1,7
2,-3.634933,568.5,2
3,2.962186,1714.6,4
4,-26.278580,-3365.1,1
5,4.328239,1951.9,5
6,5.165335,2097.3,5
7,2.051916,1556.5,3
8,0.608945,1305.8,3
9,2.378632,1613.2,5
10,-0.485544,1115.7,4
11,3.815390,1862.8,5
12,-1.383722,959.6,3
13,2.918197,1706.9,3
14,-4.889825,350.6,3
15,2.313705,1601.9,4
16,5.834845,2213.6,4
17,3.517084,1811.0,4
18,3.157759,1748.6,4
19,-12.634739,-994.9,1
20,-1.325634,969.7,3
21,-0.704181,1077.7,4
22,-1.142921,1001.5,2
23,-2.026437,848.0,3
24,-4.202311,470.0,2
25,-17.244718,-1795.7,2
26,-3.161267,650.8,2
27,-1.571308,927.0,3
28,-3.042150,671.5,3
29,6.290183,2292.7,5
30,1.779144,1509.1,3
31,0.363274,1263.1,2
32,1.722362,1499.2,3
33,-2.943260,688.7,2
34,5.365216,2132.0,5
35,1.587272,1475.7,4
36,-17.234245,-1793.9,1
37,-2.070038,840.4,3
38,1.391822,1441.8,4
39,1.701256,1495.5,3
40,2.656852,1661.5,5
41,-4.755528,373.9,2
42,-3.293868,627.8,2
43,9.050688,2772.3,5
44,-2.436940,776.7,3
45,3.341755,1780.5,4
46,-4.386755,437.9,2
47,3.923414,1881.6,4
48,1.448446,1451.6,4
49,-5.467110,250.3,1
50,-1.046370,1018.2,3
51,-1.716801,901.8,3
52,3.291101,1771.7,4
53,0.979209,1370.1,4
54,3.970488,1889.7,5
55,-2.741035,723.8,3
56,6.584068,2343.8,5
57,-16.679568,-1697.5,2
58,0.376172,1265.3,3
59,-10.311726,-591.3,2
60,1.257725,1418.5,3
61,3.637111,1831.8,4
62,14.488423,3716.9,6
63,9.795104,2901.6,6
64,-12.852011,-1032.6,1
65,5.270185,2115.5,6
66,-2.459849,772.7,2
67,-17.232934,-1793.7,1
68,-2.571900,753.2,3
69,-3.114159,659.0,3
70,2.885091,1701.2,4
71,17.479674,4236.5,6
72,1.556570,1470.4,4
73,1.269058,1420.5,4
74,-2.072294,840.0,3
75,-2.380992,786.4,3
76,4.622410,2003.0,5
77,-2.162066,824.4,3
78,0.091363,1215.9,4
79,-3.645760,566.7,2
80,2.823071,1690.4,5
81,4.091823,1910.8,4
82,2.808057,1687.8,4
83,1.992156,1546.1,4
84,1.246484,1416.5,3
85,-21.227269,-2487.6,1
86,-1.304523,973.4,3
87,4.455489,1974.0,4
88,0.636440,1310.6,3
89,5.746431,2198.3,6
90,-7.975633,-185.5,2
91,-3.127733,656.7,3
92,3.625404,1829.8,5
93,2.786472,1684.1,4
94,5.344821,2128.5,5
95,3.625194,1829.8,4
96,-2.070604,840.3,2
97,2.606539,1652.8,4
98,4.453029,1973.6,5
99,4.748766,2024.9,5
100,-2.596193,749.0,2
101,4.396545,1963.8,4
102,5.019076,2071.9,5
103,1.287974,1423.7,4
104,4.430634,1969.7,5
105,1.272387,1421.0,4
106,-0.046772,1191.9,4
107,-0.749222,1069.8,3
108,-8.704235,-312.1,2
109,4.286025,1944.6,4
110,14.435386,3707.7,6
111,-32.400773,-4428.6,0
112,11.657841,3225.2,5
113,-0.298112,1148.2,3
114,1.160729,1401.6,3
115,2.146932,1573.0,4
116,14.164082,3660.6,6
117,2.042479,1554.8,4
118,-7.876496,-168.3,2
119,-1.652719,912.9,2
120,-0.382156,1133.6,3
121,-1.479120,943.1,3
122,-1.384967,959.4,4
123,-3.593017,575.8,2
124,3.269439,1768.0,5
125,-0.026818,1195.3,4
126,-2.074000,839.7,3
127,9.877451,2915.9,5
128,-2.391150,784.6,3
