player_no,bt_rating,elo_rating,wins
1,-3.950124,513.8,3.0
2,1.260101,1418.9,5.0
3,-10.292785,-588.0,1.0
4,0.980445,1370.3,5.0
5,-0.174550,1169.7,4.0
6,-4.557090,408.4,3.0
7,3.406212,1791.7,5.0
8,-3.431311,603.9,2.0
9,2.951021,1712.6,6.0
10,-0.743816,1070.8,3.0
11,0.598031,1303.9,5.0
12,0.698184,1321.3,5.0
13,4.331471,1952.5,6.0
14,0.018035,1203.1,5.0
15,-1.420008,953.3,4.0
16,-4.004448,504.4,3.0
17,-4.677240,387.5,3.0
18,2.067276,1559.1,6.0
19,-8.472477,-271.8,1.0
20,1.154681,1400.6,6.0
21,-0.145641,1174.7,4.0
22,2.222807,1586.1,7.0
23,2.311987,1601.6,5.0
24,5.864755,2218.8,7.0
25,3.020144,1724.7,6.0
26,1.431522,1448.7,5.0
27,0.717951,1324.7,4.0
28,-2.438586,776.4,3.0
29,-4.193674,471.5,2.0
30,0.426628,1274.1,4.0
31,4.032060,1900.4,7.0
32,2.629537,1656.8,7.0
33,3.318085,1776.4,6.0
34,-2.775316,717.9,4.0
35,0.120563,1220.9,4.0
36,-1.774469,891.7,3.0
37,2.982406,1718.1,7.0
38,0.338101,1258.7,6.0
39,-0.856686,1051.2,5.0
40,0.874243,1351.9,5.0
41,-4.521019,414.6,2.0
42,5.554940,2165.0,7.0
43,-2.957062,686.3,3.0
44,-3.628971,569.6,4.0
45,2.218186,1585.3,6.0
46,0.085542,1214.9,4.0
47,-2.302084,800.1,4.0
48,4.007878,1896.2,6.0
49,-1.227525,986.8,4.0
50,-0.914937,1041.1,4.0
51,0.602403,1304.6,5.0
52,-0.132315,1177.0,4.0
53,-0.957176,1033.7,4.0
54,2.363685,1610.6,6.0
55,-8.237135,-230.9,2.0
56,1.748070,1503.7,6.0
57,0.640835,1311.3,5.0
58,2.800300,1686.5,5.0
59,-5.664415,216.0,2.0
60,3.244136,1763.6,7.0
61,4.146506,1920.3,6.0
62,1.544762,1468.4,5.0
63,2.241634,1589.4,5.0
64,-0.323567,1143.8,5.0
65,-0.161394,1172.0,4.0
66,-0.885121,1046.2,4.0
67,-5.083768,316.9,2.0
68,2.453540,1626.2,6.0
69,1.352975,1435.0,6.0
70,-8.132984,-212.8,1.0
71,-1.686811,907.0,4.0
72,1.295170,1425.0,4.0
73,-0.543496,1105.6,4.0
74,2.307178,1600.8,5.0
75,-12.578660,-985.1,1.0
76,-1.153264,999.7,5.0
77,6.742954,2371.4,7.0
78,-1.174076,996.0,4.0
79,-2.806419,712.5,3.0
80,1.893363,1528.9,6.0
81,2.829603,1691.6,6.0
82,-0.225672,1160.8,5.0
83,-7.613641,-122.6,1.0
84,3.444363,1798.3,6.0
85,1.512653,1462.8,5.0
86,0.678314,1317.8,5.0
87,-0.271806,1152.8,5.0
88,-0.651794,1086.8,4.0
89,-5.703847,209.1,2.0
90,1.271944,1421.0,5.0
91,-1.332496,968.5,4.0
92,3.883449,1874.6,7.0
93,8.094644,2606.2,8.0
94,2.509806,1636.0,6.0
95,2.158017,1574.9,5.0
96,0.950285,1365.1,4.0
97,4.175641,1925.4,7.0
98,0.472289,1282.0,6.0
99,0.686422,1319.2,5.0
100,-2.510636,763.9,3.0
101,-0.365012,1136.6,4.0
102,-4.908936,347.2,2.0
103,1.162899,1402.0,5.0
104,-0.080819,1186.0,4.0
105,2.602125,1652.0,6.0
106,-2.805324,712.7,3.0
107,2.212644,1584.4,6.0
108,0.695604,1320.8,4.0
109,-2.834880,707.5,4.0
110,-0.747172,1070.2,5.0
111,2.778692,1682.7,6.0
112,-0.365517,1136.5,3.0
113,-1.644530,914.3,4.0
114,-0.887726,1045.8,4.0
115,1.598534,1477.7,6.0
116,0.448133,1277.8,3.0
117,-2.016094,849.8,4.0
118,0.459454,1279.8,5.0
119,2.972488,1716.4,6.0
120,1.270149,1420.6,5.0
121,-2.920777,692.6,3.0
122,-0.972759,1031.0,3.0
123,-0.883148,1046.6,4.0
124,0.426075,1274.0,5.0
125,-2.981891,682.0,3.0
126,1.627656,1482.8,5.0
127,-2.430647,777.8,4.0
128,-0.287804,1150.0,4.0
129,-1.282926,977.1,4.0
130,-2.267188,806.1,3.0
131,-0.280886,1151.2,5.0
