player_id,mu,sigma,conservative(mu-3.0σ),elo(mu≈),elo_conservative(mu-3.0σ≈)
4,50.459545,0.000032,50.459450,2698.23,2698.22
12,46.169235,0.000032,46.169140,2496.31,2496.30
19,45.324888,0.000032,45.324793,2456.57,2456.57
11,42.606331,0.000032,42.606236,2328.62,2328.62
20,40.662198,0.000032,40.662103,2237.13,2237.12
13,39.891830,0.000032,39.891735,2200.87,2200.86
14,38.968189,0.000032,38.968094,2157.40,2157.39
9,36.262252,0.000032,36.262157,2030.05,2030.04
3,35.409915,0.000032,35.409820,1989.93,1989.93
6,32.964459,0.000032,32.964364,1874.84,1874.83
1,32.935676,0.138773,32.519357,1873.48,1853.89
15,31.563257,0.000032,31.563162,1808.89,1808.89
17,30.424697,0.000032,30.424602,1755.31,1755.30
5,28.553430,0.000032,28.553335,1667.24,1667.23
7,13.500234,0.000032,13.500139,958.78,958.77
2,13.134718,0.099172,12.837203,941.57,927.57
10,11.004834,0.000032,11.004739,841.33,841.33
18,10.224525,0.000032,10.224430,804.61,804.60
16,7.591470,0.000032,7.591376,680.68,680.68
8,6.910472,0.000032,6.910377,648.63,648.63
